"subject" "feat" "fBodyAcc-mean()-X" "fBodyAcc-mean()-Y" "fBodyAcc-mean()-Z" "fBodyAcc-meanFreq()-X" "fBodyAcc-meanFreq()-Y" "fBodyAcc-meanFreq()-Z" "fBodyAcc-std()-X" "fBodyAcc-std()-Y" "fBodyAcc-std()-Z" "fBodyAccJerk-mean()-X" "fBodyAccJerk-mean()-Y" "fBodyAccJerk-mean()-Z" "fBodyAccJerk-meanFreq()-X" "fBodyAccJerk-meanFreq()-Y" "fBodyAccJerk-meanFreq()-Z" "fBodyAccJerk-std()-X" "fBodyAccJerk-std()-Y" "fBodyAccJerk-std()-Z" "fBodyAccMag-mean()" "fBodyAccMag-meanFreq()" "fBodyAccMag-std()" "fBodyBodyAccJerkMag-mean()" "fBodyBodyAccJerkMag-meanFreq()" "fBodyBodyAccJerkMag-std()" "fBodyBodyGyroJerkMag-mean()" "fBodyBodyGyroJerkMag-meanFreq()" "fBodyBodyGyroJerkMag-std()" "fBodyBodyGyroMag-mean()" "fBodyBodyGyroMag-meanFreq()" "fBodyBodyGyroMag-std()" "fBodyGyro-mean()-X" "fBodyGyro-mean()-Y" "fBodyGyro-mean()-Z" "fBodyGyro-meanFreq()-X" "fBodyGyro-meanFreq()-Y" "fBodyGyro-meanFreq()-Z" "fBodyGyro-std()-X" "fBodyGyro-std()-Y" "fBodyGyro-std()-Z" "tBodyAcc-mean()-X" "tBodyAcc-mean()-Y" "tBodyAcc-mean()-Z" "tBodyAcc-std()-X" "tBodyAcc-std()-Y" "tBodyAcc-std()-Z" "tBodyAccJerk-mean()-X" "tBodyAccJerk-mean()-Y" "tBodyAccJerk-mean()-Z" "tBodyAccJerk-std()-X" "tBodyAccJerk-std()-Y" "tBodyAccJerk-std()-Z" "tBodyAccJerkMag-mean()" "tBodyAccJerkMag-std()" "tBodyAccMag-mean()" "tBodyAccMag-std()" "tBodyGyro-mean()-X" "tBodyGyro-mean()-Y" "tBodyGyro-mean()-Z" "tBodyGyro-std()-X" "tBodyGyro-std()-Y" "tBodyGyro-std()-Z" "tBodyGyroJerk-mean()-X" "tBodyGyroJerk-mean()-Y" "tBodyGyroJerk-mean()-Z" "tBodyGyroJerk-std()-X" "tBodyGyroJerk-std()-Y" "tBodyGyroJerk-std()-Z" "tBodyGyroJerkMag-mean()" "tBodyGyroJerkMag-std()" "tBodyGyroMag-mean()" "tBodyGyroMag-std()" "tGravityAcc-mean()-X" "tGravityAcc-mean()-Y" "tGravityAcc-mean()-Z" "tGravityAcc-std()-X" "tGravityAcc-std()-Y" "tGravityAcc-std()-Z" "tGravityAccMag-mean()" "tGravityAccMag-std()"
1 "WALKING" -0.187531622284211 -0.178183334644211 -0.179362879341053 -0.178049757286316 -0.176440193308421 -0.187312262556842 -0.182030424882211 -0.180092860595789 -0.185263715457053 -0.189130524101684 -0.181194220925263 -0.163215975472632 -0.167841945622105 -0.175158663065263 -0.151048074884211 -0.157113922863158 -0.155623192348421 -0.172085325486316 -0.150303734210526 -0.139283142631579 -0.138179665188421 -0.158455827909474 -0.128076159068211 -0.145095881905263 -0.146937047847368 -0.131127683461053 -0.136964009796842 -0.143942337604211 -0.152764467221053 -0.158877715923263 -0.168999388822105 -0.189152743547368 -0.170188590221053 -0.152846920831579 -0.146310506436737 -0.141634514831579 -0.169321312973053 -0.175208980425263 -0.159259514798947 -0.125877428152116 -0.132839861624211 -0.146815134957895 -0.158449405642105 -0.166247441456842 -0.118723127576842 -0.162340322898947 -0.174489147645263 -0.167593255563158 -0.156799826768421 -0.150810264804947 -0.158038545025263 -0.178700960706316 -0.181652231315789 -0.17921598708 -0.174524971388421 -0.157560228024211 -0.156995092188316 -0.175074858610526 -0.169370235311579 -0.175235099521053 -0.164046228952421 -0.176252831404211 -0.177182918403158 -0.169042446813684 -0.182097326275789 -0.177564330165368 -0.171319720386316 -0.191157924709474 -0.168571708162105 -0.165077753498947 -0.170941037609474 -0.127567048770526 -0.126648985437895 -0.148573905790526 -0.155050995544947 -0.157089067389053 -0.155799941617895 -0.183407591867053 -0.199148238606316
1 "WALKING_UPSTAIRS" -0.302562688056604 -0.283867750496226 -0.315643591956604 -0.278293003437736 -0.28916535724717 -0.24253492339434 -0.307233877303774 -0.285437626792264 -0.248005433458491 -0.265993408233962 -0.265023083332075 -0.290046035962264 -0.309870665015094 -0.337785303818868 -0.285794709848491 -0.300655029771698 -0.280603579384906 -0.279967846871698 -0.268044679684906 -0.273407528571698 -0.303434000313208 -0.271398488813208 -0.297895133867925 -0.277049621660377 -0.313730101660377 -0.275154070924528 -0.277640870698113 -0.294809105830189 -0.312767416715094 -0.291670414666038 -0.320569606067925 -0.290179555132075 -0.285348279584717 -0.262163736477358 -0.290957895283019 -0.254609752026415 -0.283110587344717 -0.281707319536226 -0.265811831207547 -0.312297769735849 -0.315616686716981 -0.334144337698113 -0.291907107156604 -0.311047132973585 -0.367339805866038 -0.3641147211 -0.346345469860377 -0.372610144698113 -0.354057692792453 -0.304226543811321 -0.313533867435849 -0.288508967226415 -0.267564535509434 -0.30962105895283 -0.275844667924528 -0.34893004314717 -0.360841704792453 -0.36122796455283 -0.376055022858491 -0.348675681058491 -0.361914054941509 -0.36766076154717 -0.341630157777359 -0.321252026416981 -0.325311384792453 -0.296710293032075 -0.302124760013208 -0.275944699490566 -0.273929770854717 -0.263528838471698 -0.279917519166038 -0.365596148433962 -0.342534805830189 -0.366723076679245 -0.377522474564151 -0.378758509622642 -0.391438498173585 -0.267220233735849 -0.277042368471698
1 "WALKING_DOWNSTAIRS" -0.0848471266734694 -0.115048000185714 -0.0900777993061224 -0.0951251814504082 -0.0467019253079592 -0.0899653239040816 -0.0854684677085714 -0.135240277687755 -0.113782068105102 -0.112807426818367 -0.163673691377143 -0.135658229755102 -0.0756298946571429 -0.0998186771428572 -0.137279640606122 -0.0969500193571429 -0.103213059281633 -0.0782134528510204 -0.145675865140816 -0.140683388155714 -0.160344355434694 -0.106324177897959 -0.122020108532653 -0.139713582932653 -0.195347342722449 -0.135528916989796 -0.154926310032653 -0.169912405422449 -0.146942721757143 -0.157951677408163 -0.135325123861224 -0.123829993573469 -0.151264536444898 -0.165219584772857 -0.163689146669388 -0.131034678804082 -0.153630066285306 -0.119080345957143 -0.149123432116327 -0.119767620946939 -0.0988993227755102 -0.145486386546939 -0.136020114681633 -0.120661141571429 -0.0943476982183673 -0.114846550897959 -0.100347320420408 -0.0570885826081633 -0.0985565162265306 -0.145251960851837 -0.111166516304673 -0.145893975846939 -0.129750672861224 -0.155362227570408 -0.154722368795918 -0.127849488132653 -0.148131503306122 -0.121995806510204 -0.0797640388040816 -0.109713032632653 -0.122207425381633 -0.105132690618367 -0.139496759489796 -0.13016661775102 -0.150830684406122 -0.143566475977551 -0.137048323503673 -0.135601299071429 -0.0865371573734694 -0.134325693889796 -0.175497731908163 -0.110927937571429 -0.0817835811857143 -0.0589633455102041 -0.0516119617102041 -0.0862703279183673 -0.124318137722449 -0.162211055706122 -0.167961974255102
1 "SITTING" -0.533465845191489 -0.534838530957447 -0.559306904965957 -0.643475053840426 -0.613395651574468 -0.640974228723404 -0.609610367455319 -0.650324594878723 -0.682975443021277 -0.67232024116383 -0.708595701148936 -0.650804617893617 -0.613118741112766 -0.612266798319149 -0.602554618995745 -0.637022959660426 -0.638074797451064 -0.638331607440425 -0.529157850468085 -0.572009533814894 -0.524037067651064 -0.619312268248936 -0.601992346868085 -0.580352653821915 -0.736376313140426 -0.688731365431915 -0.729451898161702 -0.701405957185106 -0.757080585440426 -0.736057319495745 -0.647664217704255 -0.60959056177234 -0.597505379404255 -0.54047877893617 -0.515182251148936 -0.545694013891489 -0.61805790593617 -0.553745212674468 -0.491291488982979 -0.685636815893617 -0.647950588795745 -0.65718471287234 -0.67115844107234 -0.601619204280851 -0.534253901112766 -0.510607245523404 -0.513280155855319 -0.558888148957447 -0.573285075276596 -0.572788381582979 -0.550711664191489 -0.478865119106383 -0.491934117468085 -0.553624673914894 -0.534935327542553 -0.575864943607021 -0.595033900702128 -0.604447135531915 -0.563293768638298 -0.590180481531915 -0.526803160542553 -0.549438046331915 -0.620507776989362 -0.615620044606383 -0.631430894848936 -0.577470759746809 -0.566468033758936 -0.480328459595745 -0.502688862468085 -0.470201332276596 -0.465088162359574 -0.514325577468085 -0.469413593570213 -0.481854841097872 -0.484383947355319 -0.504704771350213 -0.507843159319149 -0.521924631085106 -0.500679327978723
1 "STANDING" -0.628170902007547 -0.632456736611321 -0.609929345577358 -0.652267929216981 -0.667266639259057 -0.664558264877358 -0.616757901390566 -0.58477768220566 -0.628291649539623 -0.671679165324528 -0.676920983607547 -0.680790339528302 -0.634959242884906 -0.614022759132075 -0.610416760407547 -0.655094141528302 -0.642556640815094 -0.64094644879434 -0.62377709679566 -0.581597531126415 -0.58400676445283 -0.575290322924528 -0.577904548413208 -0.594271025601887 -0.454966076724528 -0.527240208849057 -0.482326344584906 -0.551893626320755 -0.507974175235849 -0.512177720120755 -0.55130355037317 -0.564125942496792 -0.544111181241509 -0.585190539386792 -0.578512806524245 -0.603316619396226 -0.546031987409434 -0.556244477409245 -0.560854907647415 -0.542104628509434 -0.557890842037736 -0.555483959449057 -0.570009191113208 -0.587786596879245 -0.616253162849057 -0.557772627020566 -0.512399634775472 -0.527143379226415 -0.541084089962264 -0.617723247344151 -0.634450241601887 -0.680767726367924 -0.670522625951698 -0.646070120960377 -0.648641623426415 -0.621740351188679 -0.600772310773585 -0.601445141530189 -0.637802402777358 -0.662958301433774 -0.664103575132076 -0.627044088484906 -0.625900179477359 -0.652441857750943 -0.625543435826415 -0.633623937109434 -0.621008152037736 -0.670160781115094 -0.653036006803774 -0.652785976669811 -0.669122806222642 -0.60391787665283 -0.573466829828302 -0.589174383984906 -0.589791030320755 -0.582591126811321 -0.572733277528302 -0.669074315039623 -0.694167208226415
1 "LAYING" -0.54821467244 -0.546754882824 -0.50995956708 -0.43299496012 -0.38030043957 -0.37929607602 -0.526581840552 -0.4908276945 -0.410530904104 -0.38958335496 -0.45350830147 -0.4924400886 -0.50896037136 -0.51353998641 -0.573384003104 -0.42921923326 -0.46454976694 -0.471681728098 -0.65424545332 -0.570126491 -0.60779513902 -0.516268683552 -0.552740986636 -0.53267220558 -0.542190199214 -0.515406780224 -0.521695313742 -0.5524243091 -0.48340059666 -0.52562864246 -0.5326109915 -0.576027429402 -0.58162829706 -0.635111363046 -0.635264045008 -0.635591734138 -0.614746509454 -0.65969725342 -0.650214128816 -0.5119933133 -0.57836360036 -0.5768270893046 -0.657533528698 -0.6213995672 -0.6751566254 -0.640434917222 -0.619500915686 -0.613565750332 -0.622293911948 -0.574237033844 -0.563626678992 -0.56057412756 -0.60843212428 -0.615846588528 -0.58653924726 -0.5746895707 -0.5442666842574 -0.54714772936 -0.552434849026 -0.535825251504 -0.55086902446 -0.5359116012 -0.50586364138 -0.54324044814 -0.53531462559 -0.50521099838 -0.5467980036232 -0.634793180398 -0.58554788724 -0.57512117866 -0.58397960982 -0.71715790366 -0.70615665694 -0.683749998418 -0.6963040427298 -0.708731941002 -0.654956355814 -0.6081946182806 -0.593612044926
2 "WALKING" -0.197539570581356 -0.195974534508475 -0.211305215762712 -0.245369295591525 -0.241720607486441 -0.258345321237288 -0.208175021110847 -0.186271902384746 -0.221080194330508 -0.251631186627797 -0.227737672766102 -0.235110969181356 -0.226172095249492 -0.270318897220339 -0.274051126389831 -0.233262965694915 -0.269308088101695 -0.226988045671186 -0.29181885266 -0.28636155979661 -0.295110277440678 -0.286077647266102 -0.324088805705085 -0.30937281100678 -0.295222677480339 -0.29609734379661 -0.292581226762712 -0.332015750118644 -0.290630511983051 -0.308967690440678 -0.279700644762712 -0.300247333169492 -0.290150494067797 -0.305220978808475 -0.292906930779661 -0.293078369389831 -0.277102695088136 -0.288693271733898 -0.305841939271186 -0.311476991838983 -0.332038421966102 -0.297377807213559 -0.28578161430339 -0.306016295118644 -0.291988981438983 -0.281281473711864 -0.282610937576271 -0.298171957508475 -0.298779029745763 -0.255042681105085 -0.241885152057627 -0.208917475455085 -0.240124114661017 -0.228890329416949 -0.245752889118644 -0.244571141123729 -0.262495520779661 -0.24914956409661 -0.257241531762712 -0.231977650618644 -0.242740877127119 -0.261047623067797 -0.282115293440678 -0.245029643932203 -0.230932120957627 -0.235862536542373 -0.20907426840678 -0.221223517840678 -0.216826650671186 -0.232587758525424 -0.227405543189831 -0.279425898881356 -0.278393626237288 -0.274820995154237 -0.303516201254237 -0.305432466072881 -0.275883603578475 -0.219526109864407 -0.197288484652542
2 "WALKING_UPSTAIRS" -0.264870205404167 -0.28684192500625 -0.30209412995 -0.300971258091667 -0.30866729489375 -0.299125646771042 -0.293129170108333 -0.275328339151667 -0.281110097729167 -0.284579840745833 -0.311681963083333 -0.30312668175 -0.278447228277083 -0.2469028389375 -0.213212798304167 -0.324614596933333 -0.281937358979167 -0.257996237322917 -0.272535035339583 -0.232028544554167 -0.263154617220833 -0.213493312145833 -0.206724981083333 -0.226971475379167 -0.179744014770833 -0.24016655634375 -0.2454264924375 -0.219327595289583 -0.173870211041667 -0.226734976 -0.199895725875 -0.235225573439583 -0.233317308004167 -0.258840244729167 -0.268422753591667 -0.243636889833333 -0.227229181114583 -0.23309084774375 -0.265421844354167 -0.20485638326875 -0.245155156583333 -0.238060974691667 -0.237873576520833 -0.2433063358375 -0.212903112775 -0.176426598541667 -0.201385727604167 -0.220336856666667 -0.216012630645833 -0.2234249201875 -0.214608883835417 -0.3167666229375 -0.2657209568375 -0.267435820108333 -0.233162189348208 -0.26050404175 -0.227154171508958 -0.260613957858333 -0.249264420347917 -0.230051494208333 -0.241810950179167 -0.188781222410417 -0.15736643491875 -0.194016656292708 -0.225993973641667 -0.251599292408333 -0.258217265770833 -0.293715785854167 -0.295914837641667 -0.300264653204167 -0.287420268652083 -0.24173824634625 -0.22257360505625 -0.19148842540625 -0.1862810151875 -0.1878073486875 -0.182344099383333 -0.26703589845625 -0.277837603177083
2 "WALKING_DOWNSTAIRS" -0.0578420787489362 -0.0653648209851064 -0.0914595628765957 -0.0593593585553191 -0.0742282841914894 -0.0605225284723404 -0.13466481006383 -0.155974214348936 -0.0746399422404255 -0.064043932806383 -0.0711836613404255 -0.0636174059361702 -0.111555720565957 -0.113276153919149 -0.0736199556808511 -0.0521559211744681 -0.0698947679893617 -0.108552668151064 -0.063258161802766 -0.0389486876148936 -0.0725794703255319 -0.0788984762553191 -0.101782979174468 -0.11758497093617 -0.110465392695745 -0.0604857439276596 -0.105867842802128 -0.0948096774808511 -0.0947645660346808 -0.0902890281914894 -0.0993763260382979 -0.110122836646809 -0.0835905232829787 -0.106696931468085 -0.084407083187234 -0.0711872074006383 -0.0630696497340426 -0.0750913717234043 -0.148675226487234 -0.0752628095191489 -0.0855319703617021 -0.0755718465042553 -0.101985458040426 -0.143726241765957 -0.158696778723404 -0.110577295425532 -0.0978686979808511 -0.134131617765957 -0.134754485659574 -0.112382678180851 -0.147293269523404 -0.0740876656446808 -0.0727354229276596 -0.0544386191914894 -0.0835769624085106 -0.143321821423404 -0.131110642212766 -0.121881031629787 -0.0996939429340426 -0.104381432553191 -0.131872833625532 -0.12746162682766 -0.107329656702128 -0.125332769297872 -0.0989304665659574 -0.077150761 -0.0699013967659574 -0.0675563540659574 -0.0610227133319149 -0.0915592485978723 -0.0625242018106383 -0.109307402453191 -0.142589318870213 -0.0888728669787234 -0.0674078969106383 -0.117907231268085 -0.185107731808511 -0.101175923244681 -0.119035223217021
2 "SITTING" -0.689442802891304 -0.657280740467391 -0.632594309753696 -0.629657613280435 -0.584139249128261 -0.597279780413044 -0.630949214343478 -0.645067877499783 -0.657515114767391 -0.579740621847826 -0.605687177604348 -0.56258977594587 -0.561950352828261 -0.580958594847826 -0.543248120713044 -0.551601000947826 -0.546231527295652 -0.586694776248696 -0.499615969 -0.507455743186957 -0.504536499086957 -0.523142060219565 -0.559435416317391 -0.558937611947826 -0.537793123653696 -0.550380588519565 -0.571528534454348 -0.527037517543478 -0.53731734018 -0.553664275882478 -0.52081275062913 -0.542524194702174 -0.564546701069565 -0.544875717930435 -0.534403107330435 -0.527803136780435 -0.636114548080435 -0.585151492154348 -0.591335880302174 -0.563118119234348 -0.520231973152174 -0.513014079165217 -0.539222079456522 -0.55006252123913 -0.577260238 -0.640226367043478 -0.658491814019565 -0.633030598934783 -0.676370496115217 -0.661320437147826 -0.647300829243478 -0.667973847446522 -0.64875313701087 -0.68372227515 -0.635707204043478 -0.617165026426087 -0.662187184676087 -0.627990128158913 -0.645794359141304 -0.644189259276087 -0.62780172865 -0.659706743673913 -0.653773523756522 -0.663838369486957 -0.677364724152174 -0.669214124491304 -0.65309766 -0.648238231804348 -0.633144480195652 -0.687201973530435 -0.678597006886957 -0.555485230913043 -0.562023949869565 -0.558820063478261 -0.594596320080435 -0.630778031521739 -0.643985160895652 -0.649293941719565 -0.64992326823913
